order	id	date
-99	1701.07307	23 January 2017
-99	1701.07319	23 January 2017
-99	1701.07325	23 January 2017
-99	1701.07338	23 January 2017
-99	1701.07341	23 January 2017
-99	1701.07343	23 January 2017
-99	1701.07364	23 January 2017
-99	1701.07397	23 January 2017
-99	1701.07423	23 January 2017
-99	1701.07435	23 January 2017
-99	1701.07438	23 January 2017
-99	1701.07439	23 January 2017
-99	1701.07440	23 January 2017
-99	1701.07441	23 January 2017
-99	1701.07442	23 January 2017
-99	1701.07448	23 January 2017
-99	1701.07450	23 January 2017
-99	1701.07452	23 January 2017
-99	1701.07457	23 January 2017
-99	1701.07459	23 January 2017
-99	1701.07510	23 January 2017
-99	1701.07513	23 January 2017
-99	1701.07527	23 January 2017
-99	1701.07541	23 January 2017
-99	1701.07561	23 January 2017
-99	1701.07562	23 January 2017
-99	1701.07573	23 January 2017
-99	1701.07582	23 January 2017
-99	1701.07608	23 January 2017
-99	1701.07610	23 January 2017
-99	1701.07631	23 January 2017
-99	1701.07632	23 January 2017
-99	1701.07641	23 January 2017
-99	1701.07644	23 January 2017
-99	1701.07654	23 January 2017
-99	1701.07661	23 January 2017
-99	1701.07669	23 January 2017
-99	1701.07674	23 January 2017
-99	1701.07679	23 January 2017
-99	1701.07692	23 January 2017
-99	1701.07708	23 January 2017
-99	1701.07709	23 January 2017
-99	1701.07711	23 January 2017
-99	1701.07725	23 January 2017
-99	1701.07743	23 January 2017
-99	1701.07753	23 January 2017
-99	1701.07759	23 January 2017
-99	1701.07798	23 January 2017
-99	1701.07803	23 January 2017
-99	1701.07815	23 January 2017
-99	1701.07825	23 January 2017
-99	1701.07826	23 January 2017
-99	1701.07827	23 January 2017
-99	1701.07829	23 January 2017
-99	1701.07830	23 January 2017
-99	1701.07831	23 January 2017
-99	1701.07834	23 January 2017
-99	1701.07835	23 January 2017
-99	1701.07838	23 January 2017
-99	1701.07840	23 January 2017
-99	1701.07841	23 January 2017
-99	1701.07843	23 January 2017
-99	1701.07849	23 January 2017
-99	1701.07850	23 January 2017
-99	1701.07856	23 January 2017
-99	1701.07869	23 January 2017
-99	1701.07881	23 January 2017
-99	1701.07883	23 January 2017
-99	1701.07886	23 January 2017
-99	1701.07887	23 January 2017
-99	1701.07888	23 January 2017
-99	1701.07892	23 January 2017
-99	1701.07905	23 January 2017
-99	1701.07911	23 January 2017
-99	1701.07913	23 January 2017
-99	1701.07932	23 January 2017
-99	1701.07944	23 January 2017
-99	1701.07978	23 January 2017
-99	1701.07982	23 January 2017
-99	1701.07997	23 January 2017
-99	1701.07998	23 January 2017
-99	1701.08024	23 January 2017
-99	1701.08035	23 January 2017
-99	1701.08040	23 January 2017
-99	1701.08120	23 January 2017
-99	1701.08154	23 January 2017
-99	1701.08158	23 January 2017
-99	1701.08160	23 January 2017
-99	1701.08161	23 January 2017
-99	1701.08162	23 January 2017
-99	1701.08164	23 January 2017
-99	1701.08165	23 January 2017
-99	1701.08166	23 January 2017
-99	1701.08168	23 January 2017
-99	1701.08169	23 January 2017
-99	1701.08172	23 January 2017
-99	1701.08177	23 January 2017
-99	1701.08181	23 January 2017
-99	1701.08197	23 January 2017
-99	1701.08201	23 January 2017
-99	1701.08206	23 January 2017
-99	1701.08209	23 January 2017
-99	1701.08235	23 January 2017
-99	1701.08258	28 January 2017
-99	1701.08267	28 January 2017
-99	1701.08296	28 January 2017
-99	1701.08307	28 January 2017
-99	1701.08319	28 January 2017
-99	1701.08327	28 January 2017
-99	1701.08356	28 January 2017
-99	1701.08414	28 January 2017
-99	1701.08447	28 January 2017
-99	1701.08450	28 January 2017
-99	1701.08461	28 January 2017
-99	1701.08463	28 January 2017
-99	1701.08484	28 January 2017
-99	1701.08510	28 January 2017
-99	1701.08512	28 January 2017
-99	1701.08522	28 January 2017
-99	1701.08548	28 January 2017
-99	1701.08550	28 January 2017
-99	1701.08552	28 January 2017
-99	1701.08583	28 January 2017
-99	1701.08595	28 January 2017
-99	1701.08599	28 January 2017
-99	1701.08618	28 January 2017
-99	1701.08633	28 January 2017
-99	1701.08637	28 January 2017
-99	1701.08640	28 January 2017
-99	1701.08647	28 January 2017
-99	1701.08656	28 January 2017
-99	1701.08692	28 January 2017
-99	1701.08717	28 January 2017
-99	1701.08720	28 January 2017
-99	1701.08724	28 January 2017
-99	1701.08738	28 January 2017
-99	1701.08739	28 January 2017
-99	1701.08741	28 January 2017
-99	1701.08746	28 January 2017
-99	1701.08748	28 January 2017
-99	1701.08764	28 January 2017
-99	1701.08768	28 January 2017
-99	1701.08769	28 January 2017
-99	1701.08771	28 January 2017
-99	1701.08772	28 January 2017
-99	1701.08779	28 January 2017
-99	1701.08781	28 January 2017
-99	1701.08792	28 January 2017
-99	1701.08793	28 January 2017
-99	1701.08802	28 January 2017
-99	1701.08803	28 January 2017
-99	1701.08804	28 January 2017
-99	1701.08806	28 January 2017
-99	1701.08807	28 January 2017
-99	1701.08811	28 January 2017
-99	1701.08814	28 January 2017
-99	1701.08820	28 January 2017
-99	1701.08823	28 January 2017
-99	1701.08827	28 January 2017
-99	1701.08863	28 January 2017
-99	1701.08876	28 January 2017
-99	1701.08880	28 January 2017
-99	1701.08881	28 January 2017
-99	1701.08882	28 January 2017
-99	1701.08885	28 January 2017
-99	1701.08887	28 January 2017
-99	1701.08894	28 January 2017
-99	1701.08898	28 January 2017
-99	1701.08953	28 January 2017
-99	1701.08957	28 January 2017
-99	1701.08977	28 January 2017
-99	1701.08987	28 January 2017
-99	1701.08990	28 January 2017
-99	1701.09012	28 January 2017
-99	1701.09014	28 January 2017
-99	1701.09016	28 January 2017
-99	1701.09018	28 January 2017
-99	1701.09020	28 January 2017
-99	1701.09026	28 January 2017
-99	1701.09027	28 January 2017
-99	1701.09041	28 January 2017
-99	1701.09047	28 January 2017
-99	1701.09048	28 January 2017
-99	1701.09053	28 January 2017
-99	1701.09062	28 January 2017
-99	1701.09067	28 January 2017
-99	1701.09072	28 January 2017
-99	1701.09082	28 January 2017
-99	1701.09088	28 January 2017
-99	1701.09098	28 January 2017
-99	1701.09102	28 January 2017
-99	1701.09111	28 January 2017
-99	1701.09127	28 January 2017
-99	1701.09145	28 January 2017
-99	1701.09153	28 January 2017
-99	1701.09164	28 January 2017
-99	1701.09172	28 January 2017
-99	1702.00007	28 January 2017
-99	1702.00009	28 January 2017
-99	1702.00011	28 January 2017
-99	1702.00013	28 January 2017
-99	1702.00015	28 January 2017
-99	1702.00018	28 January 2017
-99	1702.00021	28 January 2017
-99	1702.00023	28 January 2017
-99	1702.00029	28 January 2017
-99	1702.00053	28 January 2017
-99	1702.00055	28 January 2017
-99	1702.00060	28 January 2017
-99	1702.00072	28 January 2017
-99	1702.00073	28 January 2017
-99	1702.00075	28 January 2017
-99	1702.00091	28 January 2017
-99	1702.00100	28 January 2017
-99	1702.00106	28 January 2017
-99	1702.00148	28 January 2017
-99	1702.00157	28 January 2017
-99	1702.00176	28 January 2017
-99	1702.00183	28 January 2017
-99	1702.00184	28 January 2017
-99	1702.00192	28 January 2017
-99	1702.00193	28 January 2017
-99	1702.00195	28 January 2017
-99	1702.00199	28 January 2017
-99	1702.00206	28 January 2017
-99	1702.00207	28 January 2017
-99	1702.00219	28 January 2017
-99	1702.00221	28 January 2017
-99	1702.00223	28 January 2017
-99	1702.00236	28 January 2017
-99	1702.00251	28 January 2017
-99	1702.00266	28 January 2017
-99	1702.00279	28 January 2017
-99	1702.00283	28 January 2017
-99	1702.00286	28 January 2017
-99	1702.00292	28 January 2017
-99	1702.00313	28 January 2017
-99	1702.00314	28 January 2017
-99	1702.00334	28 January 2017
-99	1702.00380	28 January 2017
-99	1702.00386	28 January 2017
-99	1702.00400	28 January 2017
-99	1702.00402	28 January 2017
-99	1702.00403	28 January 2017
-99	1702.00406	28 January 2017
-99	1702.00407	28 January 2017
-99	1702.00408	28 January 2017
-99	1702.00409	28 January 2017
-99	1702.00415	28 January 2017
-99	1702.00416	28 January 2017
-99	1702.00418	28 January 2017
-99	1702.00424	28 January 2017
-99	1702.00430	28 January 2017
-99	1702.00440	28 January 2017
-99	1702.00442	28 January 2017
-99	1702.00443	28 January 2017
-99	1702.00447	28 January 2017
-99	1702.00448	28 January 2017
-99	1702.00461	28 January 2017
-99	1702.00468	28 January 2017
-99	1702.00474	28 January 2017
-99	1702.00476	28 January 2017
-99	1702.00485	28 January 2017
-99	1702.00495	28 January 2017
-99	1702.00497	28 January 2017
-99	1702.00513	28 January 2017
-99	1702.00517	28 January 2017
-99	1702.00534	28 January 2017
-99	1702.00544	28 January 2017
-99	1702.00545	28 January 2017
-99	1702.00571	28 January 2017
-99	1702.00577	28 January 2017
-99	1702.00587	28 January 2017
-99	1702.00597	28 January 2017
-99	1702.00638	28 January 2017
-99	1702.00641	28 January 2017
-99	1702.00651	28 January 2017
-99	1702.00653	28 January 2017
-99	1702.00664	28 January 2017
-99	1702.00667	28 January 2017
-99	1702.00676	28 January 2017
-99	1702.00685	28 January 2017
-99	1702.00691	28 January 2017
-99	1702.00720	28 January 2017
-99	1702.00725	28 January 2017
-99	1702.00731	28 January 2017
-99	1702.00732	28 January 2017
-99	1702.00742	28 January 2017
-99	1702.00775	28 January 2017
-99	1702.00777	28 January 2017
-99	1702.00786	28 January 2017
-99	1702.00789	28 January 2017
-99	1702.00792	28 January 2017
-99	1702.00793	28 January 2017
-99	1702.00795	28 January 2017
-99	1702.00801	28 January 2017
-99	1702.00803	28 January 2017
-99	1702.00808	28 January 2017
-99	1702.00816	28 January 2017
-99	1702.00818	28 January 2017
-99	1702.00819	28 January 2017
-99	1702.00834	28 January 2017
-99	1702.00838	28 January 2017
-99	1702.00844	2 February 2017
-99	1702.00845	2 February 2017
-99	1702.00853	2 February 2017
-99	1702.00885	2 February 2017
-99	1702.00904	2 February 2017
-99	1702.00936	2 February 2017
-99	1702.00945	2 February 2017
-99	1702.00947	2 February 2017
-99	1702.00966	2 February 2017
-99	1702.00967	2 February 2017
-99	1702.00989	2 February 2017
-99	1702.00997	2 February 2017
-99	1702.01001	2 February 2017
-99	1702.01009	2 February 2017
-99	1702.01026	2 February 2017
-99	1702.01033	2 February 2017
-99	1702.01063	2 February 2017
-99	1702.01079	2 February 2017
-99	1702.01106	2 February 2017
-99	1702.01109	2 February 2017
-99	1702.01118	2 February 2017
-99	1702.01120	2 February 2017
-99	1702.01121	2 February 2017
-99	1702.01122	2 February 2017
-99	1702.01123	2 February 2017
-99	1702.01124	2 February 2017
-99	1702.01134	2 February 2017
